Report Date,reportedCurrency_x,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,PeriodType_x,reportedCurrency_y,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,PeriodType_y,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,PeriodType
2005-04-30,,210153000,583846000,373693000,373693000,76182000,43200000,85913000,133971000,,,,10000,,,,24897000,80555000,16111000,,0,,76182000,101079000,Quarterly,,1635094000,1319657000,281004000,281004000,307759000,255252000,315437000.0,169236000.0,,135523000,135523000,108107000,,,450508000,25134000,,404507000,375520000,182146000,,,345000.0,28987000.0,,,,,8578000.0,193029000,,1230587000,-72100000.0,636958000,173000,21659040000,Quarterly,,89579000,,,,,24897000,13504000,,7759000,,-4611000.0,-12476000,,,,,,,,,,,-48467000,,,,Quarterly
2005-07-31,,217375000,574812000,357437000,357437000,77593000,51683000,87113000,139782000,,,,2000,,,,24770000,82812000,8979000,,0,,77593000,102363000,Quarterly,,1728218000,1401915000,242170000,242170000,300955000,355393000,326303000.0,178951000.0,,131375000,131375000,108107000,,,475376000,28021000,,452985000,425498000,221047000,,,,27487000.0,,,,,,198867000,,1275233000,-122142000.0,711795000,174000,21700440000,Quarterly,,47347000,,,,,24770000,29185000,,6804000,,-55678000.0,-30503000,,,,,,,,,,,-50042000,,,,Quarterly
2005-10-31,,227995000,583415000,355420000,355420000,69572000,55400000,88829000,158423000,,,,1000,,,,24522000,75718000,11271000,,0,,69572000,94094000,Quarterly,,1805508000,1449976000,364308000,364308000,284847000,351737000,355532000.0,178505000.0,,152314000,152314000,133000000,,,421870000,27214000,,456067000,427167000,179777000,,,,28900000.0,,,,,,247390000,,1349441000,-162142000.0,777048000,178000,22000419800,Quarterly,,84099000,,,,,24522000,13466000,,16108000,,29205000.0,8834000,,,,,,,,,,,-40000000,,,,Quarterly
2006-01-31,,254940000,633614000,378674000,378674000,112342000,50800000,92435000,142598000,,,,60000,,,,23788000,116728000,18676000,,0,,112342000,136130000,Quarterly,,1915299000,1548932000,551756000,551756000,254792000,318186000,366367000.0,178152000.0,,160738000,160738000,145317000,,,398418000,25780000,,457543000,438659000,179395000,,,,18884000.0,,,,,,259264000,,1457756000,-212142000.0,875100000,180000,22312000000,Quarterly,,225383000,,,,,23788000,23445000,,30055000,,-10703000.0,-27232000,,,,,,,,,,,-50000000,,,,Quarterly
2006-04-30,,288757000,681807000,393050000,393050000,100685000,65668000,122404000,188072000,,,,1000,,,,24031000,109248000,18572000,,0,,100685000,124716000,Quarterly,,2161453000,1722627000,487763000,487763000,346366000,391270000,438826000.0,180206000.0,,22989000,22989000,204603000,,,467290000,29938000,,552802000,534386000,298147000,,,,18416000.0,,,,,,229434000,,1608651000,-262142000.0,965776000,371000,23422200000,Quarterly,,50396000,,,,,24031000,20667000,,-87958000,,-157514000.0,43125000,,,,,,,,,,,-50000000,,,,Quarterly
2006-07-31,,292100000,687500000,395400000,395400000,95800000,69100000,127300000,196300000,,,,6000,,,,24200000,104500000,17800000,,0,,95800000,120000000,Quarterly,,2184000000,1726000000,388000000,388000000,379000000,460000000,,177144000.0,,29000000,29000000,204000000,,,463000000,36825000,,529000000,505000000,230916000,,,,,,,,,,231937000,,1654548000,-387120000.0,927000000,373000,57840000000,Quarterly,,17900000,,,,,24200000,20111000,,-30357000,,,-102200000,,,,,,,,,,,-109200000,,,,Quarterly
2006-10-31,,333942000,820572000,486630000,486630000,117613000,69100000,140732000,216329000,,,,22000,,,,25031000,128327000,21816000,,0,,117613000,142644000,Quarterly,,2183829000,1726289000,388423000,388423000,378661000,459636000,457540000.0,220540000.0,,29428000,29428000,203657000,,,462744000,8816000,,529281000,505044000,230916000,,,340000.0,24237000.0,,,,,340000.0,272899000,,1654548000,-387120000.0,926548000,373000,23135340000,Quarterly,,289318000,,,,,25031000,28786000,,5775000,,3631000.0,60374000,,,,,,,,,,,-124978000,,,,Quarterly
2007-01-31,,385706000,878873000,493167000,493167000,138514000,84900000,162276000,247192000,,,,4000,,,,34292000,151559000,-11947000,,0,,138514000,172806000,Quarterly,,2675263000,2031770000,544414000,544414000,354680000,518680000,643493000.0,260828000.0,,45511000,45511000,301425000,,,573436000,40560000,,668344000,638807000,272075000,,,,29537000.0,,,,,,365552000,,2006919000,-487120000.0,1196565000,388000,23940000000,Quarterly,,230395000,,,,,34292000,75692000,,21145000,,-371909000.0,-55818000,,,,,,,,,,,-100000000,,,,Quarterly
2007-04-30,,380138000,844280000,464142000,464142000,141246000,80600000,158321000,238892000,,,,12500000,,,,31334000,153789000,21530000,,0,,141246000,172580000,Quarterly,,2800868000,2154233000,678951000,678951000,332635000,471519000,646635000.0,271190000.0,,50914000,50914000,291077000,,,628073000,43055000,,704974000,623867000,334046000,,,,81107000.0,,,,,,285435000,,2095894000,-612120000.0,1328824000,393000,23931960000,Quarterly,,295198000,,,,,31334000,26336000,,22840000,,-79772000.0,-80889000,,,,,,,,,,,-125000000,,,,Quarterly
2007-07-31,,423992000,935253000,511261000,511261000,184760000,81300000,157952000,239232000,,,,16100000,,,,31892000,200851000,28119000,,0,,184760000,216652000,Quarterly,,3036267000,2397405000,914745000,914745000,276305000,508435000,638862000.0,264832000.0,,54735000,54735000,293383000,,,656818000,41102000,,775989000,680798000,323381000,,,,95191000.0,,,,,,353833000,,2260278000,-736506000.0,1501556000,402000,24153180000,Quarterly,,342402000,,,,,31892000,41367000,,55649000,,-69179000.0,-37429000,,,,,,,,,,,-124386000,,,,Quarterly
